,Location,Country,City,Borough,County,{
451,"Hartford, Connecticut",US,Hartford, ,Capitol Planning Region,
452,"Silver City, New Mexico",US,Silver City, ,Grant,
453,"Willsboro, New York",US,Willsboro, ,Essex,
454,"Babylon, New York",US,Babylon,Babylon,Suffolk,
455,"Freeport, New York",US,Freeport, ,Nassau,
456,"Congers, New York",US,Congers, ,Rockland,
457,"Elizaville, New York",US,Livingston,Elizaville,Columbia,
458,"Bridgewater, Connecticut",US,Bridgewater, ,Western Connecticut Planning Region,
459,"Patterson, New York",US,Patterson, ,Putnam,
460,"Tuckahoe, New York",US,Southampton,Tuckahoe,Suffolk,
461,"Garden City, New York",US,Garden City, ,Nassau,
462,"Highland Falls, New York",US,Highland Falls, ,Orange,
463,"Greenwich, Connecticut",US,Greenwich, ,Western Connecticut Planning Region,
464,"River Vale, New Jersey",US,River Vale, ,Bergen,
465,"Reston, Virginia",US,Reston, ,Fairfax,
466,"Voorheesville, New York",US,New Scotland,Voorheesville,Albany,
467,"East Amherst, New York",US,Clarence,East Amherst,Erie County,
468,"Moriches, New York",US,Brookhaven,Moriches,Suffolk,
469,"Hillsborough, New Jersey",US,Hillsborough Township, ,Somerset,
470,"Albuquerque, New Mexico",US,Albuquerque, ,Bernalillo,
471,"Goshen, Connecticut",US,Goshen, ,Northwest Hills Planning Region,
472,"Schenecady, New York",US,Schenectady, ,Schenectady County,
473,"Northridge, California",US,Northridge,Northridge East Neighborhood Council District,Los Angeles,
474,"Grandview, New York",US,East Greenbush, ,Rensselaer,
475,"Ridgewood, New York",US,Ridgewood,Queens, ,
476,"Wardsboro, Vermont",US,Wardsboro, ,Windham County,
477,"Norcross, Georgia",US,Norcross, ,Gwinnett,
478,"Glen Head, New York",US,Glen Head, ,Nassau,
479,"Bethel, Connecticut",US,Bethel, ,Western Connecticut Planning Region,
480,"Old Westbury, New York",US,Old Westbury, ,Nassau,
481,"Thiells, New York",US,Haverstraw,Thiells,Rockland,
482,"Westwood, New Jersey",US,Westwood, ,Bergen,
483,"Collinsville, Connecticut",US,Canton,Collinsville,Capitol Planning Region,
484,"Waterford, New York",US,Waterford,Waterford,Saratoga,
485,"Spuyten Duyvil, New York",US,New York,The Bronx, ,
486,"Riverdale, New York",US,Riverdale,The Bronx, ,
487,"East Jewett, New York",US,East Jewett,Jewett,Greene County,
488,"Sleightsburg, New York",US,Esopus,Sleightsburg,Ulster,
489,"West Redding, Connecticut",US,Redding, ,Western Connecticut Planning Region,
490,"Amenia, New York",US,Amenia, ,Dutchess,
491,"Haines Falls, New York",US,Hunter,Haines Falls,Greene County,
492,"Queens, New York",US,New York,Queens, ,
493,"Sisters, Oregon",US,Sisters, ,Deschutes,
494,"Lloyd Harbor, New York",US,Huntington,Lloyd Harbor,Suffolk,
495,"Sloatsburg, New York",US,Sloatsburg, ,Rockland,
496,"Eastham, Massachussets",US,Easthampton, ,Hampshire,
497,"Sunnyside, New York",US,Sunnyside,Queens, ,
498,"Centereach, New York",US,Brookhaven,Centereach,Suffolk,
499,"Green Cove Springs, Florida",US,Green Cove Springs, ,Clay,
500,"Olmstedville, New York",US,Olmstedville,Minerva,Essex,
501,"Stockton, California",US,Stockton, ,San Joaquin,
502,"Halesite, New York",US,Huntington,Fort Hill,Suffolk,
503,"Floral Park, New York",US,Floral Park, ,Nassau,
504,"Downey, California",US,Downey, ,Los Angeles,
505,"Somerset, New Jersey",US, , ,Somerset,
506,"Johnstown, New York",US,Johnstown, ,Fulton,
507,"Belle Mead, New Jersey",US,Montgomery Township, ,Somerset,
508,"Bovina Center, New York",US,Bovina Center,Bovina,Delaware,
509,"Piermont, New York",US,Piermont, ,Rockland,
510,"Paterson, New Jersey",US,Paterson, ,Passaic,
511,"South Bound Brook, New Jersey",US,South Bound Brook, ,Somerset,
512,"Flagler Beach, Florida",US,Flagler Beach, ,Flagler,
513,"Boonton, New Jersey",US,Boonton, ,Morris,
514,"Irvington, New York",US,Irvington, ,Westchester,
515,"Summit, New Jersey",US,Summit, ,Union,
516,"Westerlo, New York",US,Westerlo, ,Albany,
517,"Grandview On Hudson, New York",US,Cornwall,Cornwall-on-Hudson,Orange,
518,"Rutherford, New Jersey",US,East Rutherford, ,Bergen,
519,"Arlington, Massachussets",US,Arlington, ,Middlesex,
520,"Durham, New Hampshire",US,New Durham, ,Strafford,
521,"Rockaway Point, New York",US,Far Rockaway,Queens, ,
522,"Eureka Springs, Arkansas",US,Eureka Springs, ,Carroll,
523,"Montrose, New York",US,Cortlandt,Montrose,Westchester,
524,"Putney, Vermont",US,Putney, ,Windham County,
525,"Smithtown, New York",US,Smithtown, ,Suffolk,
526,"Ancram, New York",US,Ancram, ,Columbia,
527,"Carmel, New York",US,Carmel, ,Putnam,
528,"Rolling Meadows, Illinois",US,Rolling Meadows, ,Cook County,
529,"Kinderhook, New York",US,Kinderhook,Kinderhook,Columbia,
530,"Haymarket, Virginia",US,Haymarket, ,Prince William,
531,"Rye, New York",US,Rye, ,Westchester,
532,"Hensonville, New York",US,Windham,Hensonville,Greene County,
533,"Shokan, New York",US,Shokan, ,Ulster,
534,"Sausalito, California",US,Sausalito, ,Marin,
535,"Romulus, New York",US, ,Romulus,Seneca,
536,"West Hartford, Connecticut",US,West Hartford, ,Capitol Planning Region,
537,"Kalamazoo, Michigan",US,Kalamazoo, ,Kalamazoo,
538,"Arlington Heights, Illinois",US,Arlington Heights, ,Cook County,
539,"New York City, New York",US,New York,Manhattan, ,
540,"Inwood, New York",US,Inwood,Manhattan, ,
541,"Santa Rosa, California",US,Santa Rosa, ,Sonoma,
542,"Hillsdale, New York",US,Hillsdale, ,Columbia,
543,"Grahamsville, New York",US,Neversink,Grahamsville,Sullivan,
544,"Acworth, Georgia",US,Acworth, ,Cobb,
545,"Lincoln University, Pennsylvania",US,Lincoln University, ,Chester,
546,"Hicksville, New York",US,Hicksville, ,Nassau,
547,"Carmel Hamlet, New York",US,Copake,West Copake,Columbia,
548,"Marco Island, Florida",US,Marco Island, ,Collier,
549,"Bridgehampton, New York",US,Southampton,Bridgehampton,Suffolk,
550,"South Amboy, New Jersey",US,South Amboy, ,Middlesex,
551,"Great Barrington, Massachussets",US,Great Barrington, ,Berkshire,
552,"Amherst, New York",US,Amherst, ,Erie County,
553,"Hutchinson, Minnesota",US,Hutchinson, ,McLeod,
554,"Stockton, New Jersey",US,Stockton, ,Hunterdon,
555,"Flushing, New York",US,Flushing,Queens, ,
556,"Fanwood, New Jersey",US,Fanwood, ,Union,
557,"Long Beach, New York",US,Long Beach, ,Nassau,
558,"Oakland, California",US,Oakland, ,Alameda County,
559,"Lawrenceville, New Jersey",US,Lawrence Township,Lawrenceville,Mercer,
560,"Montreal, ",US,Montréal, ,Agglomération de Montréal,
561,"Fort Montgonery, New York",US, , ,Montgomery,
562,"Bethlehem, Pennsylvania",US,Bethlehem, ,Northampton,
563,"Valhalla, New York",US,Mount Pleasant,Valhalla,Westchester,
564,"Atlantic Highlands, New Jersey",US,Atlantic Highlands, ,Monmouth,
565,"Tappan, New York",US,Tappan, ,Rockland,
566,"Granite Springs, New York",US,Somers,Granite Springs,Westchester,
567,"Port St Lucie, Florida",US,Port Saint Lucie, ,Saint Lucie,
568,"Brookline, Massachussets",US,Brookline, ,Norfolk,
569,"New Providence, New Jersey",US,New Providence, ,Union,
570,"Stormville, New York",US,East Fishkill,Stormville,Dutchess,
571,"Acton, Massachussets",US,Acton, ,Middlesex County,
572,"Succasunna, New Jersey",US,Roxbury Township,Succasunna,Morris,
573,"Long Beach, California",US,Long Beach, ,Los Angeles,
574,"Port Saint Lucie, Florida",US,Port Saint Lucie, ,Saint Lucie,
575,"Eliot, Maine",US,Eliot, ,York,
576,"Kent Lakes, New York",US,Lake Carmel, ,Putnam,
577,"Santa Cruz, California",US,Santa Cruz, ,Santa Cruz,
578,"Malden, New York",US,Saugerties,Malden-on-Hudson,Ulster,
579,"Nyack, New York",US,Nyack, ,Rockland,
580,"Pine Plains, New York",US,Pine Plains, ,Dutchess,
581,"Verplanck, New York",US,Cortlandt,Verplanck,Westchester,
582,"Huntington Station, New York",US,Huntington,Huntington Station,Suffolk,
583,"Glen Rock, New Jersey",US,Glen Rock, ,Bergen,
584,"Unadilla, New York",US,Unadilla,Unadilla,Otsego,
585,"Seaford, New York",US,Seaford, ,Nassau,
586,"Nassau, New York",US, , ,Nassau,
587,"Campbell Hall, New York",US,Hamptonburgh,Campbell Hall,Orange,
588,"Maryknoll, New York",US,Lackawanna, ,Erie County,
589,"Altamont, New York",US,Guilderland,Altamont,Albany,
590,"Brewster, New York",US,Brewster, ,Putnam,
591,"Salt Lake City, Utah",US,Salt Lake City, ,Salt Lake,
592,"Northport, New York",US,Huntington,Northport,Suffolk,
593,"Hollis, New York",US,New York,Queens, ,
594,"South Pasadena, California",US,South Pasadena, ,Los Angeles,
595,"Arlington, Virginia",US, , ,Arlington,
596,"West Lebanon, New Hampshire",US,Lebanon,West Lebanon,Grafton,
597,"Union, New Jersey",US, , ,Union,
598,"Delhi, New York",US,Delhi,Delhi,Delaware,
599,"Oceanside, New York",US,Oceanside, ,Nassau,
600,"Silver Spring, Maryland",US,Silver Spring, ,Montgomery,
601,"Ocala, Florida",US,Ocala, ,Marion,
602,"Plainview, New York",US,Plainview, ,Nassau,
603,"Aptos, California",US,Seacliff, ,Santa Cruz,
604,"Swampscott, Massachussets",US,Swampscott, ,Essex County,
605,"Dayton, Texas",US,Dayton, ,Liberty,
606,"Lancaster, Pennsylvania",US,Lancaster, ,Lancaster,
607,"Niagara Falls, New York",US,Niagara Falls, ,Niagara,
608,"Auburn, New York",US,Auburn, ,Cayuga,
609,"Hillsdale, New Jersey",US,Hillsdale, ,Bergen,
610,"West End, North Carolina",US,West End, ,Moore,
611,"East Elmhurst, New York",US,East Elmhurst,Queens, ,
612,"Ridge, New York",US,Brookhaven,Ridge,Suffolk,
613,"Roseland, New Jersey",US,Roseland, ,Essex,
614,"Huntingdon Valley, Pennsylvania",US,Lower Moreland Township,Huntingdon Valley,Montgomery,
615,"New City, New York",US,New York,Manhattan, ,
616,"North Woodmere, New York",US,South Valley Stream,North Woodmere,Nassau,
617,"Cross River, New York",US,Bedford, ,Westchester,
618,"Whitingham, Vermont",US,Jacksonville,Whitingham,Windham County,
619,"Santa Ana, California",US,Santa Ana, ,Orange,
620,"Woodland Hills, California",US,Woodland Hills,Woodland Hills-Warner Center Neighborhood Council District,Los Angeles,
621,"Corona, New York",US,New York,Queens County, ,
622,"Randolph, Vermont",US,Randolph, ,Orange,
623,"Port Jervis, New York",US,Port Jervis, ,Orange,
624,"Brightwaters, New York",US,Islip,Brightwaters,Suffolk,
625,"Wyckoff, New Jersey",US,Wyckoff, ,Bergen,
626,"Ashburn, Virginia",US,Ashburn, ,Loudoun,
627,"Carnegie, Pennsylvania",US,Pittsburgh, ,Allegheny,
628,"Clinton Corners, New York",US,Clinton Corners, ,Dutchess,
629,"Cheverly, Maryland",US,Cheverly, ,Prince George's,
630,"Bronxville, New York",US,Eastchester,Bronxville,Westchester,
631,"Cudahy, Wisconsin",US,Cudahy, ,Milwaukee County,
632,"Hampton Bays, New York",US,Southampton,Hampton Bays,Suffolk,
633,"West Columbia, South Carolina",US,West Columbia, ,Lexington,
634,"San Diego, California",US,San Diego, ,San Diego,
635,"Bridgton, Maine",US,Bridgton, ,Cumberland,
636,"Harrington Park, New Jersey",US,Harrington Park, ,Bergen,
637,"Branford, Connecticut",US,Branford, ,South Central Connecticut Planning Region,
638,"Hamden, Connecticut",US,Hamden, ,South Central Connecticut Planning Region,
639,"Ferndale, Washington",US,Ferndale, ,Whatcom,
640,"New Haven, Connecticut",US,New Haven, ,South Central Connecticut Planning Region,
641,"Newcomb, New York",US, ,Newcomb,Essex,
642,"Clearwater, Florida",US,Clearwater, ,Pinellas,
643,"Woodstock, New York",US,Woodstock, ,Ulster,
644,"Glenwood Springs, Colorado",US,Glenwood Springs, ,Garfield,
645,"Gladstone, Oregon",US,Gladstone, ,Clackamas,
646,"Hunter, New York",US,New York,Manhattan, ,
647,"Tannersville, New York",US,Hunter,Tannersville,Greene County,
648,"Pomona, New York",US,Haverstraw,Pomona,Rockland,
649,"Teoti, New York",US,New York, , ,
650,"Brattleboro, Vermont",US,Brattleboro, ,Windham County,
651,"Beulah Valley, Colorado",US, ,Beulah Valley,Pueblo,
652,"Princeton, New Jersey",US,Princeton, ,Mercer,
653,"Sarasota, Florida",US,Sarasota, ,Sarasota,
654,"Crownsville, Maryland",US,Crownsville, ,Anne Arundel,
655,"Rhinbeck, New York",US,Rhinebeck,Rhinecliff,Dutchess,
656,"Highland, New York",US,Highland Falls, ,Orange,
657,"Newark, New York",US,Newark, ,Wayne,
658,"Gulfport, Florida",US,Gulfport, ,Pinellas,
659,"Jamestown, New York",US,Jamestown, ,Chautauqua,
660,"Hudson, New York",US, , , ,
661,"Renick, West Virginia",US, ,Renicks Valley,Greenbrier,
662,"Stuyversant, New York",US,New York, , ,
663,"West Caldwell, New Jersey",US,West Caldwell, ,Essex,
664,"Glenmont, New York",US,Bethlehem,Glenmont,Albany,
665,"Haverstraw, New York",US,Haverstraw,Haverstraw,Rockland,
666,"Union City, New Jersey",US,Union City, ,Hudson,
667,"Accord, New York",US,Rochester,Accord,Ulster,
668,"Surfside, Florida",US,Surfside, ,Miami-Dade,
669,"Melrose, New York",US,New York,The Bronx, ,
670,"Hawthorne, New York",US,Mount Pleasant,Hawthorne,Westchester,
671,"Gerrardstown, West Virginia",US, ,Gerrardstown,Berkeley,
672,"Roosevelt Island, New York",US,New York,Manhattan, ,
673,"Ossining, New York",US,Ossining,Ossining,Westchester,
674,"Cordtlandt Manor, New York",US,Cortlandt, ,Westchester,
675,"Menlo Park, California",US,Menlo Park, ,San Mateo,
676,"Mastic Beach, New York",US,Brookhaven,Mastic Beach,Suffolk,
677,"Endicott, New York",US,Endicott, ,Broome,
678,"Ada, Michigan",US, ,Ada Township,Kent,
679,"Poughquag, New York",US,Beekman,Poughquag,Dutchess,
680,"West Tisbury, Massachussets",US,West Tisbury, ,Dukes,
681,"Bal Harbour, Florida",US,Bal Harbour Village, ,Miami-Dade,
682,"Addisleigh Park, New York",US,La Crescenta,Highway Highlands,Los Angeles,
683,"Guilderland Center, New York",US,Guilderland,Guilderland Center,Albany,
684,"Marmora, New Jersey",US,Upper Township,Marmora,Cape May,
685,"Sleepy Hollow, New York",US,Mount Pleasant,Sleepy Hollow,Westchester,
686,"Forest Hills, New York",US,Forest Hills,Queens, ,
687,"Evansville, Indiana",US,Evansville, ,Vanderburgh,
688,"Briarcliff Manor, New York",US,Ossining,Briarcliff Manor,Westchester,
689,"Otisville, New York",US,Mount Hope,Otisville,Orange,
690,"Claverack, New York",US,Claverack, ,Columbia,
691,"Columbus, North Carolina",US, , ,Columbus,
692,"Mountainville, New York",US,Cornwall,Mountainville,Orange,
693,"Eddyville, New York",US,Ulster,Eddyville,Ulster,
694,"Tarryown, New York",US,Tarrytown, ,Westchester,
695,"East Hampton, New York",US,East Hampton,East Hampton,Suffolk,
696,"Spring Mills, Pennsylvania",US,Gregg Township,Spring Mills,Centre,
697,"Putnam Valley, New York",US,Putnam Valley, ,Putnam,
698,"Norfolk, Massachussets",US, , ,Norfolk,
699,"Somerville, New Jersey",US,Somerville, ,Somerset,
700,"Iowa City, Iowa",US,Iowa City, ,Johnson,
701,"Guttenberg, New Jersey",US,Guttenberg, ,Hudson,
702,"Ruby, New York",US,Ulster,Ruby,Ulster,
703,"East Haven, Connecticut",US,East Haven, ,South Central Connecticut Planning Region,
704,"Hazlet, New Jersey",US,Hazlet, ,Monmouth,
705,"Salisbury Mills, New York",US,Blooming Grove,Salisbury Mills,Orange,
706,"Monroe, New York",US, , ,Monroe County,
707,"Caldwell, New Jersey",US,Caldwell, ,Essex,
708,"Mattawan, Michigan",US,Mattawan, ,Van Buren,
709,"Rock Tavern, New York",US,New Windsor,Rock Tavern,Orange,
710,"Middle Village, New York",US,Middle Village,Queens, ,
711,"Sparkill, New York",US,Sparkill, ,Rockland,
712,"Lakewood Township, New Jersey",US,Lakewood Township, ,Ocean,
713,"Chester, New Jersey",US,Chester, ,Morris,
714,"Kings Park, New York",US,Smithtown,Kings Park,Suffolk,
715,"Summerville, South Carolina",US,Summerville, ,Dorchester,
716,"River Edge, New Jersey",US,River Edge, ,Bergen,
717,"Woodbury, Connecticut",US,Woodbury, ,Naugatuck Valley Planning Region,
718,"Nelsonville, New York",US,Philipstown,Nelsonville,Putnam,
719,"Cragsmoor, New York",US,Wawarsing,Cragsmoor,Ulster,
720,"Matamoras, Pennsylvania",US,Matamoras, ,Pike,
721,"Glendale, Massachussets",US,Stockbridge,Glendale,Berkshire,
722,"Green Island, New York",US,Green Island, ,Albany,
723,"Dover, New Hampshire",US,Dover, ,Strafford,
724,"Fort Washington, Pennsylvania",US,Upper Dublin Township,Fort Washington,Montgomery,
725,"Ramsey, New Jersey",US,Ramsey, ,Bergen,
726,"Warwick, Rhode Island",US,Warwick, ,Kent,
727,"Castleton-On-Hudson, New York",US,Castleton-on-Hudson, ,Rensselaer,
728,"Hughsonville, New York",US,Wappinger,Hughsonville,Dutchess,
729,"Richmond Hill, New York",US,Richmond Hill,Queens, ,
730,"Barrytown, New York",US,Red Hook,Barrytown,Dutchess,
731,"Jackson, New Jersey",US,Jackson Township, ,Ocean,
732,"Tivoli, New York",US,Red Hook,Tivoli,Dutchess,
733,"South Fallsburg, New York",US,Fallsburg,South Fallsburg,Sullivan,
734,"Midlothian, Virginia",US,Midlothian, ,Chesterfield,
735,"Leeds, New York",US,Catskill,Leeds,Greene County,
736,"East Chatham, New York",US,Chatham,East Chatham,Columbia,
737,"East Greenville, Pennsylvania",US,East Greenville, ,Montgomery,
738,"Rosendale, New York",US,Rosendale,Tillson,Ulster,
739,"Bedford Hills, New York",US,Bedford,Bedford Hills,Westchester,
740,"North Tonawanda, New York",US,North Tonawanda, ,Niagara,
741,"Albany, New York",US,Albany, ,Albany,
742,"Ulster Park, New York",US,Lincoln Park, ,Ulster,
743,"Merion Station, Pennsylvania",US,Upper Merion Township,Conshohocken Station,Montgomery,
744,"Salem, New York",US,New Salem, ,York County,
745,"New Canaan, Connecticut",US,New Canaan, ,Western Connecticut Planning Region,
746,"Keene, New York",US,Keene, ,Essex,
747,"Jefferson Valley, New York",US,Yorktown,Shrub Oak,Westchester,
748,"Larchmont, New York",US,Mamaroneck,Larchmont,Westchester,
749,"Marietta, Georgia",US,Marietta, ,Cobb,
750,"Mars, Pennsylvania",US,Mars, ,Butler County,
751,"Potsdam, New York",US,Potsdam,Potsdam,Saint Lawrence,
752,"Sharon Springs, New York",US,Sharon Springs, ,Schoharie,
753,"Cambridge, Massachussets",US,Cambridge, ,Middlesex,
754,"White Sulphur Springs, New York",US,Liberty,White Sulphur Springs,Sullivan,
755,"Hurley, New York",US,Hurley,Hurley,Ulster,
756,"Dingmans Ferry, Pennsylvania",US,Delaware Township,Dingmans Ferry,Pike,
757,"Philadelphia, Pennsylvania",US,Philadelphia, ,Philadelphia,
758,"Newbury, New Hampshire",US,Newbury, ,Merrimack,
759,"Prescott,  Arizona",US,Prescott, ,Yavapai,
760,"Briarcliff, New York",US,Ossining,Briarcliff Manor,Westchester,
761,"Williamstown, Massachussets",US,Williamstown, ,Berkshire,
762,"Earlville, New York",US,Hamilton,Earlville,Madison,
763,"Manalapan, New Jersey",US,Manalapan, ,Monmouth,
764,"West Sacramento, California",US,West Sacramento, ,Yolo,
765,"Bound Brook, New Jersey",US,Bound Brook, ,Somerset,
766,"Hood River, Oregon",US,Hood River, ,Hood River,
767,"Nutley, New Jersey",US,Nutley, ,Essex,
768,"Troy, Michigan",US,Troy, ,Oakland,
769,"New Hampton, New York",US,East Hampton,East Hampton,Suffolk,
770,"Whiting, New Jersey",US,Manchester Township,Whiting,Ocean,
771,"Edison, New Jersey",US,Edison, ,Middlesex,
772,"Riverside, Connecticut",US,Greenwich,Riverside,Western Connecticut Planning Region,
773,"Kerhonkson, New York",US,Wawarsing,Kerhonkson,Ulster,
774,"Wilmington, New York",US, ,Wilmington,Essex,
775,"Queensbury, New York",US,Queensbury, ,Warren,
776,"Ridgeway, South Carolina",US,Ridgeway, ,Fairfield,
777,"Pelham, New York",US,Pelham,Pelham,Westchester,
778,"Port Henry, New York",US,Moriah,Port Henry,Essex,
779,"Holmdel, New Jersey",US,Holmdel Township, ,Monmouth,
780,"Miami Beach, Florida",US,Miami Beach, ,Miami-Dade,
781,"East Islip, New York",US,Islip,East Islip,Suffolk,
782,"Hume, Virginia",US, ,Hume,Fauquier,
783,"Allentown, Pennsylvania",US,Allentown, ,Lehigh,
784,"Flemington, New Jersey",US,Flemington, ,Hunterdon,
785,"Easton, Maryland",US,Easton, ,Talbot,
786,"Sag Harbor, New York",US,East Hampton,Sag Harbor,Suffolk,
787,"Wantagh, New York",US,Wantagh, ,Nassau,
788,"Napa, California",US,Napa, ,Napa,
789,"Williamsburg, Virginia",US,Williamsburg, , ,
790,"Avon-By-The-Sea, New Jersey",US,Avon-by-the-Sea, ,Monmouth,
791,"Cincinnati, Ohio",US,Cincinnati, ,Hamilton,
792,"Bedminster, New Jersey",US,Bedminster, ,Somerset,
793,"Cortland Manor, New York",US,Bari Manor,Croton-on-Hudson,Westchester,
794,"Croton On Hudson, New York",US,Cortlandt,Croton-on-Hudson,Westchester,
795,"Barnegat, New Jersey",US,Barnegat Township, ,Ocean,
796,"Roanoke, Virginia",US,Roanoke, , ,
797,"North Chatham, New York",US,Chatham,North Chatham,Columbia,
798,"Sherman Oaks, California",US,Los Angeles,Sherman Oaks,Los Angeles,
799,"Fort Wayne, Indiana",US,Fort Wayne, ,Allen,
800,"Weston, Connecticut",US,Weston, ,Western Connecticut Planning Region,
801,"Hopewell Junction, New York",US,East Fishkill,Hopewell Junction,Dutchess,
802,"Athens, New York",US,Athens,Athens,Greene County,
803,"Avon, Connecticut",US,Avon, ,Capitol Planning Region,
804,"Norfolk, Virginia",US,Norfolk, , ,
805,"Kensington, Maryland",US,Kensington, ,Montgomery,
806,"Cottekill, New York",US,Rosendale,Cottekill,Ulster,
807,"New Gretna, New Jersey",US,Bass River Township,New Gretna,Burlington,
808,"Croton Falls, New York",US,North Salem,Croton Falls,Westchester,
809,"Blooming Grove, New York",US,South Blooming Grove, ,Orange,
810,"Amityville, New York",US,Babylon,Amityville,Suffolk,
811,"Pleasantville, New York",US,Mount Pleasant,Pleasantville,Westchester,
812,"Clifton Park, New York",US,Clifton Park, ,Saratoga,
813,"Cobleskill, New York",US,Cobleskill,Cobleskill,Schoharie,
814,"Plymouth Meeting, Pennsylvania",US,Plymouth Meeting, ,Montgomery,
815,"Stony Brook, New York",US,Stony Brook University,Stony Brook,Suffolk,
816,"Vestal, New York",US,Vestal, ,Broome,
817,"Claremont, California",US,Claremont, ,Los Angeles,
818,"South Salem, New York",US,Lewisboro,South Salem,Westchester,
819,"Milltown, New Jersey",US,Milltown, ,Middlesex,
820,"Valley Cottage, New York",US,Valley Cottage, ,Rockland,
821,"Mamaronek, New York",US,Mamaroneck, ,Westchester,
822,"Katonah, New York",US,Bedford,Katonah,Westchester,
823,"Fort Edward, New York",US,Fort Edward,Fort Edward,Washington,
824,"Overland Park, Kansas",US,Overland Park, ,Johnson,
825,"Westerly, Rhode Island",US,Westerly, ,Washington,
826,"Mattituck, New York",US,Southold,Mattituck,Suffolk,
827,"West New Yo, New Jersey",US,West New York, ,Hudson,
828,"Mill Valley, California",US,Mill Valley, ,Marin,
829,"South Richmond Hill, New York",US,New York,Queens, ,
830,"Scotia, New York",US,Scotia, ,Schenectady County,
831,"Schroon Lake, New York",US,Schroon Lake, ,Essex,
832,"Glenford, New York",US,Hurley,Glenford,Ulster,
833,"Tulsa, Oklahoma",US,Tulsa, ,Tulsa,
834,"Hackensack, New Jersey",US,Hackensack, ,Bergen,
835,"Norwich, Vermont",US,Norwich, ,Windsor County,
836,"North Andover, Massachussets",US, ,North Andover,Essex County,
837,"Beverly Hills, California",US,Beverly Hills, ,Los Angeles,
838,"Central Valley, New York",US,New York,Manhattan, ,
839,"South Orange, New Jersey",US,South Orange, ,Essex,
840,"Placerville, Colorado",US, ,Placerville,San Miguel,
841,"West Fulton, New York",US,Caroga,Caroga Lake,Fulton,
842,"Sierra Mas, California",US,Tijuana, ,Municipio de Tijuana,
843,"New Hempstead, New York",US,New Hempstead, ,Rockland,
844,"Absecon, New Jersey",US,Absecon, ,Atlantic,
845,"Chester, New York",US,Chester,Chester,Orange,
846,"Castleton, New York",US,Castleton-on-Hudson, ,Rensselaer,
847,"Warrenton, Oregon",US,Warrenton, ,Clatsop,
848,"Burlington, Vermont",US,Burlington, ,Chittenden,
849,"Highmount, New York",US,Shandaken,Highmount,Ulster,
850,"Ventura, California",US,Ventura, ,Ventura,
851,"Glasco, New York",US,Saugerties,Glasco,Ulster,
852,"Little Silver, New Jersey",US, ,Little Silver,Monmouth,
853,"Queens Vlg, New York",US,New York,Queens, ,
854,"Bardonia, New York",US,Bardonia, ,Rockland,
855,"Cohoes, New York",US,Cohoes, ,Albany,
856,"Fort Lee, New Jersey",US,Fort Lee, ,Bergen,
857,"Sparta, New Jersey",US,Sparta Township, ,Sussex,
858,"Port Townsend, Washington",US,Port Townsend, ,Jefferson,
859,"Plattsburgh, New York",US,Plattsburgh, ,Clinton,
860,"Teaneck, New Jersey",US,Teaneck, ,Bergen,
861,"Huntington, New York",US,Huntington, ,Suffolk,
862,"South Nyack, New York",US,Nyack, ,Rockland,
863,"Lake Oswego, Oregon",US,Lake Oswego, ,Clackamas,
864,"Kill Buck, New York",US,Great Valley,Kill Buck,Cattaraugus,
865,"Montclair, New Jersey",US,Montclair, ,Essex,
866,"College Point, New York",US,College Point,Queens, ,
867,"Port Washington, New York",US,Port Washington, ,Nassau,
868,"Falls Church, Virginia",US,Falls Church, , ,
869,"New York Mills, New York",US,Whitestown,New York Mills,Oneida,
870,"Binghamton, New York",US,Binghamton, ,Broome,
871,"Green Valley,  Arizona",US,Sahuarita, ,Pima,
872,"Wynantskill, New York",US,Wynantskill, ,Rensselaer,
873,"Gahanna, Ohio",US,Gahanna, ,Franklin County,
874,"Oneonta, New York",US,Oneonta, ,Otsego,
875,"Rockaway Park, New York",US,New York,Queens, ,
876,"Worthington, Massachussets",US,Worthington, ,Hampshire,
877,"Weldon Spring, Missouri",US,Weldon Spring, ,Saint Charles County,
878,"Palisades, New York",US,Town of Orangetown,Palisades,Rockland,
879,"Voorhees, New Jersey",US,Voorhees Township, ,Camden,
880,"Englewood Cliffs, New Jersey",US,Englewood Cliffs, ,Bergen,
881,"Sound Beach, New York",US,Miller Place,Sound Beach,Suffolk,
882,"Leander, Texas",US,Leander, ,Williamson,
883,"Johnsburg, New York",US,Johnsburg, ,Warren,
884,"Township Of Washington, New Jersey",US,Township of Washington, ,Bergen,
885,"Palm Beach, Florida",US,West Palm Beach, ,Palm Beach,
886,"Scottsdale,  Arizona",US,Scottsdale, ,Maricopa,
887,"Franklin Lakes, New Jersey",US,Franklin Lakes, ,Bergen,
888,"Vineyard Haven, Massachussets",US,West Tisbury, ,Dukes,
889,"Delanson, New York",US,Delanson,Duanesburg,Schenectady County,
890,"Cliffside Park, New Jersey",US,Cliffside Park, ,Bergen,
891,"Garrison, New York",US,Garrison,Garrison,Putnam,
892,"Delmar, New York",US,Bethlehem,Delmar,Albany,
893,"Bonita Springs, Florida",US,Bonita Springs, ,Lee,
894,"Stillwater, New York",US,Stillwater,Stillwater,Saratoga,
895,"Glastonbury, Connecticut",US,Glastonbury, ,Capitol Planning Region,
896,"Connelly, New York",US,Esopus,Connelly,Ulster,
897,"Richmond, California",US,Richmond, ,Contra Costa,
